date,acc_name_ch,nav_adj,acc_code
17/09/2014,富国天惠,5.43407,161005.OF
18/09/2014,富国天惠,5.463557,161005.OF
19/09/2014,富国天惠,5.529635,161005.OF
22/09/2014,富国天惠,5.484162,161005.OF
23/09/2014,富国天惠,5.52999,161005.OF
24/09/2014,富国天惠,5.58399,161005.OF
25/09/2014,富国天惠,5.57653,161005.OF
26/09/2014,富国天惠,5.593582,161005.OF
29/09/2014,富国天惠,5.666055,161005.OF
30/09/2014,富国天惠,5.717923,161005.OF
08/10/2014,富国天惠,5.782936,161005.OF
09/10/2014,富国天惠,5.797857,161005.OF
10/10/2014,富国天惠,5.779739,161005.OF
13/10/2014,富国天惠,5.770857,161005.OF
14/10/2014,富国天惠,5.771923,161005.OF
15/10/2014,富国天惠,5.804607,161005.OF
16/10/2014,富国天惠,5.73995,161005.OF
